"","site","fetch","direction","quadrant","x","y","x_end","y_end"
"1","Kawau Bay",2.13406178168207,0,"North",1761414.43528977,5970179.31979412,1761414.43528977,5972313.3815758
"2","Kawau Bay",2.04154971159998,10,"North",1761414.43528977,5970179.31979412,1761768.94667681,5972189.85377826
"3","Kawau Bay",2.49307815529607,20,"North",1761414.43528977,5970179.31979412,1762267.11823777,5972522.04693969
"4","Kawau Bay",2.68169785050551,30,"North",1761414.43528977,5970179.31979412,1762755.28421502,5972501.73825793
"5","Kawau Bay",3.3791799945458,40,"North",1761414.43528977,5970179.31979412,1763586.53032116,5972767.92185124
"6","Kawau Bay",3.86011677603752,50,"East",1761414.43528977,5970179.31979412,1764371.45629584,5972660.5550297
"7","Kawau Bay",4.67158857066272,60,"East",1761414.43528977,5970179.31979412,1765460.14966799,5972515.11407945
"8","Kawau Bay",52.4721262720106,70,"East",1761414.43528977,5970179.31979412,1810722.10514452,5988125.84394228
"9","Kawau Bay",3.60303733078864,80,"East",1761414.43528977,5970179.31979412,1764962.73438752,5970804.98066068
"10","Kawau Bay",2.74496121040219,90,"East",1761414.43528977,5970179.31979412,1764159.39650017,5970179.31979412
"11","Kawau Bay",2.48098999178071,100,"East",1761414.43528977,5970179.31979412,1763857.73346882,5969748.50040324
"12","Kawau Bay",2.35359571193514,110,"East",1761414.43528977,5970179.31979412,1763626.09181259,5969374.3426514
"13","Kawau Bay",2.87004597341967,120,"East",1761414.43528977,5970179.31979412,1763899.96801278,5968744.29680741
"14","Kawau Bay",2.3802255510462,130,"East",1761414.43528977,5970179.31979412,1763237.79384652,5968649.34030165
"15","Kawau Bay",2.58361357419503,140,"South",1761414.43528977,5970179.31979412,1763075.15008348,5968200.15697244
"16","Kawau Bay",3.68408803750975,150,"South",1761414.43528977,5970179.31979412,1763256.47930853,5966988.80596386
"17","Kawau Bay",23.7883816866438,160,"South",1761414.43528977,5970179.31979412,1769550.54100372,5947825.55306274
"18","Kawau Bay",3.53434064152371,170,"South",1761414.43528977,5970179.31979412,1762028.16710143,5966698.67372856
"19","Kawau Bay",11.2125284991376,180,"South",1761414.43528977,5970179.31979412,1761414.43528977,5958966.79129498
"20","Kawau Bay",2.84757918945075,190,"South",1761414.43528977,5970179.31979412,1760919.95835276,5967375.00173103
"21","Kawau Bay",1.67293443951219,200,"South",1761414.43528977,5970179.31979412,1760842.25801299,5968607.27564625
"22","Kawau Bay",5.33347804894644,210,"South",1761414.43528977,5970179.31979412,1758747.6962653,5965560.3923132
"23","Kawau Bay",5.58690047008835,220,"South",1761414.43528977,5970179.31979412,1757823.24489104,5965899.50573475
"24","Kawau Bay",6.1603840794733,230,"West",1761414.43528977,5970179.31979412,1756695.30729821,5966219.50123692
"25","Kawau Bay",6.14278212898578,240,"West",1761414.43528977,5970179.31979412,1756094.62991615,5967107.92872963
"26","Kawau Bay",6.64048110137053,250,"West",1761414.43528977,5970179.31979412,1755174.42420034,5967908.14149608
"27","Kawau Bay",6.43229282983565,260,"West",1761414.43528977,5970179.31979412,1755079.8634413,5969062.363866
"28","Kawau Bay",5.57718957794784,270,"West",1761414.43528977,5970179.31979412,1755837.24571182,5970179.31979412
"29","Kawau Bay",4.7894200917102,280,"West",1761414.43528977,5970179.31979412,1756697.77725102,5971010.99386513
"30","Kawau Bay",2.74245747846147,290,"West",1761414.43528977,5970179.31979412,1758837.36823444,5971117.29549397
"31","Kawau Bay",2.47582594522009,300,"West",1761414.43528977,5970179.31979412,1759270.30712586,5971417.23276673
"32","Kawau Bay",2.09834623158375,310,"West",1761414.43528977,5970179.31979412,1759807.00881933,5971528.11075262
"33","Kawau Bay",1.48027967709671,320,"North",1761414.43528977,5970179.31979412,1760462.92985446,5971313.27981502
"34","Kawau Bay",1.45760957962064,330,"North",1761414.43528977,5970179.31979412,1760685.63049996,5971441.64671887
"35","Kawau Bay",2.18588717496022,340,"North",1761414.43528977,5970179.31979412,1760666.8178449,5972233.3818423
"36","Kawau Bay",2.47418532531756,350,"North",1761414.43528977,5970179.31979412,1760984.79751682,5972615.91668488
"37","Chetwode Islands",145.934891362702,0,"North",1701075.28471633,5471650.71997614,1701075.28471633,5617585.61133884
"38","Chetwode Islands",129.473431982365,10,"North",1701075.28471633,5471650.71997614,1723558.11023635,5599157.15960147
"39","Chetwode Islands",123.737931975634,20,"North",1701075.28471633,5471650.71997614,1743396.14994546,5587926.34156495
"40","Chetwode Islands",127.120673687942,30,"North",1701075.28471633,5471650.71997614,1764635.6215603,5581740.45273609
"41","Chetwode Islands",121.914451319294,40,"North",1701075.28471633,5471650.71997614,1779440.38346611,5565042.60794518
"42","Chetwode Islands",113.582787043304,50,"East",1701075.28471633,5471650.71997614,1788084.74756482,5544660.32816124
"43","Chetwode Islands",100.780653477821,60,"East",1701075.28471633,5471650.71997614,1788353.89083812,5522041.04671505
"44","Chetwode Islands",88.0181580538081,70,"East",1701075.28471633,5471650.71997614,1783785.29833466,5501754.70300897
"45","Chetwode Islands",77.0734136628779,80,"East",1701075.28471633,5471650.71997614,1776977.78004265,5485034.37780527
"46","Chetwode Islands",65.7327274530486,90,"East",1701075.28471633,5471650.71997614,1766808.01216938,5471650.71997614
"47","Chetwode Islands",63.7621125411364,100,"East",1701075.28471633,5471650.71997614,1763868.70749528,5460578.54532918
"48","Chetwode Islands",58.1886728083453,110,"East",1701075.28471633,5471650.71997614,1755754.75116766,5451749.0217623
"49","Chetwode Islands",55.6647486615522,120,"East",1701075.28471633,5471650.71997614,1749282.37115251,5443818.34564536
"50","Chetwode Islands",55.7185083690478,130,"East",1701075.28471633,5471650.71997614,1743758.13843132,5435835.5531663
"51","Chetwode Islands",14.2597635270515,140,"South",1701075.28471633,5471650.71997614,1710241.28402858,5460727.10736605
"52","Chetwode Islands",15.5896130939136,150,"South",1701075.28471633,5471650.71997614,1708870.09126329,5458149.71900164
"53","Chetwode Islands",15.7809592086685,160,"South",1701075.28471633,5471650.71997614,1706472.6906467,5456821.46905883
"54","Chetwode Islands",9.97788380010462,170,"South",1701075.28471633,5471650.71997614,1702807.92605519,5461824.42265114
"55","Chetwode Islands",11.497656300338,180,"South",1701075.28471633,5471650.71997614,1701075.28471633,5460153.0636758
"56","Chetwode Islands",12.2371840429754,190,"South",1701075.28471633,5471650.71997614,1698950.32000749,5459599.44625558
"57","Chetwode Islands",8.6942116289228,200,"South",1701075.28471633,5471650.71997614,1698101.6892089,5463480.83346489
"58","Chetwode Islands",13.4221341358308,210,"South",1701075.28471633,5471650.71997614,1694364.21764841,5460026.81084151
"59","Chetwode Islands",7.31913024898608,220,"South",1701075.28471633,5471650.71997614,1696370.6384786,5466043.94092044
"60","Chetwode Islands",14.2851803028489,230,"West",1701075.28471633,5471650.71997614,1690132.20172638,5462468.38307533
"61","Chetwode Islands",12.006770308065,240,"West",1701075.28471633,5471650.71997614,1690677.11661214,5465647.33482211
"62","Chetwode Islands",22.7698982056112,250,"West",1701075.28471633,5471650.71997614,1679678.57939647,5463862.95612835
"63","Chetwode Islands",15.5935198091816,260,"West",1701075.28471633,5471650.71997614,1685718.6655115,5468942.93367786
"64","Chetwode Islands",10.1145548225213,270,"West",1701075.28471633,5471650.71997614,1690960.72989381,5471650.71997614
"65","Chetwode Islands",8.04703859442894,280,"West",1701075.28471633,5471650.71997614,1693150.49871975,5473048.07356368
"66","Chetwode Islands",24.1606999063971,290,"West",1701075.28471633,5471650.71997614,1678371.65330127,5479914.16602098
"67","Chetwode Islands",23.5293704943963,300,"West",1701075.28471633,5471650.71997614,1680698.25213313,5483415.40522334
"68","Chetwode Islands",23.5657442801137,310,"West",1701075.28471633,5471650.71997614,1683022.87726259,5486798.48841244
"69","Chetwode Islands",18.4186533928718,320,"North",1701075.28471633,5471650.71997614,1689236.00252828,5485760.22705748
"70","Chetwode Islands",300.000000000001,330,"North",1701075.28471633,5471650.71997614,1551075.28471633,5731458.34111147
"71","Chetwode Islands",300,340,"North",1701075.28471633,5471650.71997614,1598469.24171863,5753558.50621191
"72","Chetwode Islands",163.452315226032,350,"North",1701075.28471633,5471650.71997614,1672692.08804189,5632619.82725853
"73","Foveaux Strait",30.2600479970146,0,"North",1233064.9695241,4816974.17705636,1233064.9695241,4847234.22505337
"74","Foveaux Strait",16.8471055846054,10,"North",1233064.9695241,4816974.17705636,1235990.43870783,4833565.33725189
"75","Foveaux Strait",14.3879609628035,20,"North",1233064.9695241,4816974.17705636,1237985.94199476,4830494.43780126
"76","Foveaux Strait",14.0149129242438,30,"North",1233064.9695241,4816974.17705636,1240072.42598622,4829111.44768058
"77","Foveaux Strait",13.1707712485329,40,"North",1233064.9695241,4816974.17705636,1241530.97809267,4827063.57318289
"78","Foveaux Strait",19.2212799023102,50,"East",1233064.9695241,4816974.17705636,1247789.3241829,4829329.37761988
"79","Foveaux Strait",22.7557212921381,60,"East",1233064.9695241,4816974.17705636,1252772.00224453,4828352.03770243
"80","Foveaux Strait",46.7758154322614,70,"East",1233064.9695241,4816974.17705636,1277019.85811704,4832972.44815468
"81","Foveaux Strait",49.3126002976507,80,"East",1233064.9695241,4816974.17705636,1281628.40061842,4825537.22023407
"82","Foveaux Strait",299.999999999997,90,"East",1233064.9695241,4816974.17705636,1533064.9695241,4816974.17705636
"83","Foveaux Strait",24.6717614444142,100,"East",1233064.9695241,4816974.17705636,1257361.91147503,4812689.9706417
"84","Foveaux Strait",18.3528640737137,110,"East",1233064.9695241,4816974.17705636,1250311.02046446,4810697.12785543
"85","Foveaux Strait",24.1535616189084,120,"East",1233064.9695241,4816974.17705636,1253982.56747795,4804897.3962469
"86","Foveaux Strait",300.000000000005,130,"East",1233064.9695241,4816974.17705636,1462878.3024598,4624137.89415039
"87","Foveaux Strait",300.000000000005,140,"South",1233064.9695241,4816974.17705636,1425901.25243007,4587160.84412066
"88","Foveaux Strait",300.000000000002,150,"South",1233064.9695241,4816974.17705636,1383064.9695241,4557166.55592102
"89","Foveaux Strait",300.000000000002,160,"South",1233064.9695241,4816974.17705636,1335671.0125218,4535066.39082058
"90","Foveaux Strait",14.4374154290078,170,"South",1233064.9695241,4816974.17705636,1235572.00040357,4802756.09840841
"91","Foveaux Strait",25.3361559209758,180,"South",1233064.9695241,4816974.17705636,1233064.9695241,4791638.02113538
"92","Foveaux Strait",18.4202036529475,190,"South",1233064.9695241,4816974.17705636,1229866.33472751,4798833.81768687
"93","Foveaux Strait",18.7356460189966,200,"South",1233064.9695241,4816974.17705636,1226657.00118738,4799368.42874665
"94","Foveaux Strait",17.1091303272973,210,"South",1233064.9695241,4816974.17705636,1224510.40436045,4802157.23555626
"95","Foveaux Strait",17.744258804757,220,"South",1233064.9695241,4816974.17705636,1221659.17982133,4803381.28620171
"96","Foveaux Strait",17.9022201024202,230,"West",1233064.9695241,4816974.17705636,1219351.07329515,4805466.85178864
"97","Foveaux Strait",17.7038832582851,240,"West",1233064.9695241,4816974.17705636,1217732.95687679,4808122.23542722
"98","Foveaux Strait",17.5773987592967,250,"West",1233064.9695241,4816974.17705636,1216547.61761738,4810962.35261341
"99","Foveaux Strait",18.7981117717835,260,"West",1233064.9695241,4816974.17705636,1214552.44330926,4813709.91920361
"100","Foveaux Strait",24.6912135659333,270,"West",1233064.9695241,4816974.17705636,1208373.75595817,4816974.17705636
"101","Foveaux Strait",300,280,"West",1233064.9695241,4816974.17705636,937622.64362044,4869068.63035643
"102","Foveaux Strait",299.999999999999,290,"West",1233064.9695241,4816974.17705636,951157.18328833,4919580.22005405
"103","Foveaux Strait",89.1501765965069,300,"West",1233064.9695241,4816974.17705636,1155858.65183966,4861549.26535461
"104","Foveaux Strait",85.4784339999261,310,"West",1233064.9695241,4816974.17705636,1167584.69015195,4871918.65532692
"105","Foveaux Strait",43.0931179774119,320,"North",1233064.9695241,4816974.17705636,1205365.24722546,4849985.42061962
"106","Foveaux Strait",36.5161359199154,330,"North",1233064.9695241,4816974.17705636,1214806.90156415,4848598.07841105
"107","Foveaux Strait",41.2412217640316,340,"North",1233064.9695241,4816974.17705636,1218959.64094544,4855728.24882021
"108","Foveaux Strait",38.5204261090488,350,"North",1233064.9695241,4816974.17705636,1226375.96772731,4854909.39133788
